ROLE,E,A,D,DMG,H,MIT,GAME
SUPPORT,5,14,6,4281,6186,1159,DEFEAT
SUPPORT,4,13,0,1543,11183,1276,DEFEAT
TANK,24,14,5,9133,0,6677,VICTORY
DAMAGE,20,4,6,7516,0,0,VICTORY
DAMAGE,18,2,7,5990,0,374,VICTORY
SUPPORT,15,24,5,3381,7845,0,VICTORY
SUPPORT,15,18,4,4563,7775,287,VICTORY
TANK,13,2,6,8434,928,6359,DEFEAT
DAMAGE,12,3,9,7363,473,0,DEFEAT
DAMAGE,11,4,4,7728,91,2451,DEFEAT
SUPPORT,5,4,5,2792,5556,698,DEFEAT
SUPPORT,0,12,4,78,12136,351,DEFEAT
TANK,21,1,3,13929,0,6004,VICTORY
DAMAGE,8,0,7,5704,0,0,VICTORY
DAMAGE,16,4,5,6237,0,0,VICTORY
SUPPORT,7,17,4,1091,11675,0,VICTORY
SUPPORT,8,10,3,2709,8054,510,VICTORY
TANK,9,1,7,6596,0,7218,DEFEAT
DAMAGE,9,0,9,6551,0,1198,DEFEAT
DAMAGE,6,0,7,5643,67,2502,DEFEAT
SUPPORT,4,7,9,3952,8813,4854,DEFEAT
SUPPORT,5,6,6,2135,9350,312,DEFEAT
TANK,29,6,2,10319,0,14764,VICTORY
DAMAGE,25,12,5,8290,1429,5254,VICTORY
DAMAGE,22,0,2,5810,0,106,VICTORY
SUPPORT,12,21,4,3699,6775,0,VICTORY
SUPPORT,14,18,4,2615,9142,369,VICTORY
TANK,10,1,5,6631,0,15580,DEFEAT
DAMAGE,15,2,5,5697,835,0,DEFEAT
DAMAGE,14,0,4,5679,0,967,DEFEAT
SUPPORT,6,13,5,3649,5531,0,DEFEAT
SUPPORT,4,7,5,768,5328,42,DEFEAT
TANK,13,4,4,3881,0,7269,VICTORY
DAMAGE,13,1,6,7189,0,144,VICTORY
DAMAGE,15,2,4,6656,0,412,VICTORY
SUPPORT,4,8,4,1562,6716,24,VICTORY
SUPPORT,7,12,5,1845,7232,0,VICTORY
TANK,21,7,9,8165,0,23241,DEFEAT
DAMAGE,22,6,8,10047,0,4949,DEFEAT
DAMAGE,26,0,16,8501,0,1536,DEFEAT
SUPPORT,14,9,13,4340,10876,799,DEFEAT
SUPPORT,11,17,14,3095,12958,1084,DEFEAT
TANK,41,12,8,15843,0,7390,VICTORY
DAMAGE,20,0,8,9088,1138,49,VICTORY
DAMAGE,30,7,11,9016,0,952,VICTORY
SUPPORT,29,16,10,8232,7965,0,VICTORY
SUPPORT,16,10,7,3674,8869,186,VICTORY
TANK,9,3,15,8763,1061,2726,DEFEAT
DAMAGE,11,4,4,9532,15,5760,DEFEAT
DAMAGE,15,1,13,7547,1288,0,DEFEAT
SUPPORT,3,2,9,3873,3780,40,DEFEAT
SUPPORT,3,10,9,858,14060,1411,DEFEAT
TANK,38,12,4,14203,549,10479,VICTORY
DAMAGE,25,7,5,7266,0,0,VICTORY
DAMAGE,28,4,5,9395,1371,2667,VICTORY
SUPPORT,22,20,3,5619,9192,251,VICTORY
SUPPORT,13,22,5,2579,10559,23,VICTORY
TANK,21,2,7,11491,0,15412,DEFEAT
DAMAGE,23,1,15,11041,0,268,DEFEAT
DAMAGE,25,1,9,13574,1125,0,DEFEAT
SUPPORT,9,16,7,4155,8716,378,DEFEAT
SUPPORT,2,25,7,240,12712,865,DEFEAT
TANK,20,3,7,14119,0,6721,VICTORY
DAMAGE,25,8,9,10727,286,982,VICTORY
DAMAGE,28,9,8,9879,0,0,VICTORY
SUPPORT,4,13,11,1712,10017,401,VICTORY
SUPPORT,10,21,4,2034,14057,277,VICTORY
TANK,15,6,7,11094,480,6712,DEFEAT
DAMAGE,8,4,3,6458,0,3003,DEFEAT
DAMAGE,13,4,8,9257,75,0,DEFEAT
SUPPORT,14,7,7,4807,6770,502,DEFEAT
SUPPORT,6,9,7,3871,9352,2837,DEFEAT
TANK,18,8,5,8168,0,6165,VICTORY
DAMAGE,20,0,7,8506,962,515,VICTORY
DAMAGE,19,7,6,7450,530,0,VICTORY
SUPPORT,3,23,1,829,12903,444,VICTORY
SUPPORT,6,16,3,3894,6718,529,VICTORY
TANK,14,1,10,10452,0,15832,DEFEAT
DAMAGE,12,3,7,8170,43,4032,DEFEAT
DAMAGE,12,5,8,6373,0,0,DEFEAT
SUPPORT,6,4,12,3700,7590,619,DEFEAT
SUPPORT,10,5,11,5481,10757,0,DEFEAT
TANK,31,5,4,12098,0,6520,VICTORY
DAMAGE,25,4,8,9127,671,0,VICTORY
DAMAGE,29,8,6,9285,588,2837,VICTORY
SUPPORT,18,23,6,2522,11160,784,VICTORY
SUPPORT,14,16,3,2827,11005,0,VICTORY
TANK,13,1,8,7154,0,8747,DEFEAT
DAMAGE,9,3,5,5241,0,2618,DEFEAT
DAMAGE,8,0,9,4655,170,520,DEFEAT
SUPPORT,2,8,5,922,7296,752,DEFEAT
SUPPORT,4,7,6,1941,5836,175,DEFEAT
TANK,19,8,1,6362,0,2908,VICTORY
DAMAGE,19,4,4,5653,0,0,VICTORY
DAMAGE,22,4,5,7761,0,289,VICTORY
SUPPORT,0,17,3,0,8225,0,VICTORY
SUPPORT,15,11,4,6041,5317,2605,VICTORY
TANK,3,2,3,4019,0,8887,DEFEAT
DAMAGE,1,0,3,2710,0,416,DEFEAT
DAMAGE,3,0,5,4534,1515,0,DEFEAT
SUPPORT,1,3,5,1045,3210,0,DEFEAT
SUPPORT,1,2,4,1100,4507,277,DEFEAT
TANK,11,2,1,2821,2394,1180,VICTORY
DAMAGE,14,1,0,4485,266,0,VICTORY
DAMAGE,7,0,0,3157,97,0,VICTORY
SUPPORT,7,2,2,1542,4245,152,VICTORY
SUPPORT,11,6,1,3234,4037,0,VICTORY
TANK,13,5,6,9114,2300,3200,DEFEAT
DAMAGE,19,7,4,8581,32,2433,DEFEAT
DAMAGE,16,0,12,7797,0,249,DEFEAT
SUPPORT,8,13,8,2801,6970,6,DEFEAT
SUPPORT,12,8,6,4475,7487,940,DEFEAT
TANK,20,1,7,10996,0,16819,VICTORY
DAMAGE,15,9,7,6218,264,0,VICTORY
DAMAGE,14,1,7,6671,580,1890,VICTORY
SUPPORT,14,18,3,4162,10202,1629,VICTORY
SUPPORT,8,15,5,1680,10465,923,VICTORY
TANK,9,1,7,6852,0,8410,DEFEAT
DAMAGE,3,1,5,4932,5,3204,DEFEAT
DAMAGE,10,1,8,6579,1047,0,DEFEAT
SUPPORT,2,10,6,1216,7646,0,DEFEAT
SUPPORT,2,6,4,1900,6071,430,DEFEAT
TANK,22,4,1,10427,2254,1367,VICTORY
DAMAGE,8,2,5,5545,116,910,VICTORY
DAMAGE,18,1,2,8567,510,0,VICTORY
SUPPORT,10,11,1,2335,6097,790,VICTORY
SUPPORT,0,21,2,0,8240,0,VICTORY
TANK,8,1,7,7866,942,5071,DEFEAT
DAMAGE,9,3,4,5777,30,875,DEFEAT
DAMAGE,6,0,6,5662,945,0,DEFEAT
SUPPORT,2,4,6,2098,4938,752,DEFEAT
SUPPORT,4,2,6,1713,5852,262,DEFEAT
TANK,19,8,3,6611,0,10088,VICTORY
DAMAGE,15,3,4,4194,601,3623,VICTORY
DAMAGE,18,3,3,8592,0,0,VICTORY
SUPPORT,6,15,1,1156,10597,368,VICTORY
SUPPORT,10,14,3,2708,5666,0,VICTORY
TANK,20,4,9,12954,0,8280,DEFEAT
DAMAGE,17,4,12,8076,32,5761,DEFEAT
DAMAGE,14,2,12,9388,245,0,DEFEAT
SUPPORT,0,16,10,374,10028,0,DEFEAT
SUPPORT,11,10,9,4963,8595,673,DEFEAT
TANK,26,4,8,10529,0,16245,VICTORY
DAMAGE,38,0,8,11426,0,619,VICTORY
DAMAGE,19,9,4,6709,1300,3715,VICTORY
SUPPORT,20,27,5,2778,12234,667,VICTORY
SUPPORT,15,24,5,3025,11611,0,VICTORY
TANK,10,1,11,14876,4207,12288,DEFEAT
DAMAGE,13,2,9,9775,7,2227,DEFEAT
DAMAGE,8,3,14,12126,499,82,DEFEAT
SUPPORT,11,3,7,5576,11386,924,DEFEAT
SUPPORT,10,6,8,7523,11482,841,DEFEAT
TANK,28,3,4,15942,6027,8971,VICTORY
DAMAGE,27,0,4,11049,0,1104,VICTORY
DAMAGE,31,7,6,13622,948,2389,VICTORY
SUPPORT,17,19,4,4402,16148,940,VICTORY
SUPPORT,10,26,2,1694,16231,1540,VICTORY
TANK,23,1,17,8774,0,14801,DEFEAT
DAMAGE,27,14,6,14089,0,9682,DEFEAT
DAMAGE,33,5,11,14576,0,0,DEFEAT
SUPPORT,16,21,8,9951,9926,0,DEFEAT
SUPPORT,22,16,9,9388,10530,795,DEFEAT
TANK,31,8,10,12330,15168,2557,VICTORY
DAMAGE,26,1,14,10627,1193,60,VICTORY
DAMAGE,20,12,10,7623,0,0,VICTORY
SUPPORT,16,28,11,4909,10841,269,VICTORY
SUPPORT,16,22,10,3482,11343,1320,VICTORY
TANK,13,2,6,7160,5302,888,DEFEAT
DAMAGE,4,0,5,4323,47,3170,DEFEAT
DAMAGE,11,0,10,5781,0,85,DEFEAT
SUPPORT,2,2,9,2212,5446,675,DEFEAT
SUPPORT,9,9,8,4199,4182,0,DEFEAT
TANK,24,1,4,11134,0,8886,VICTORY
DAMAGE,14,2,6,7287,0,0,VICTORY
DAMAGE,5,1,6,5422,0,970,VICTORY
SUPPORT,7,12,4,1939,7524,869,VICTORY
SUPPORT,13,16,4,3543,7189,0,VICTORY
TANK,10,3,4,7222,0,6420,DEFEAT
DAMAGE,9,3,3,4438,56,773,DEFEAT
DAMAGE,11,2,7,6144,279,212,DEFEAT
SUPPORT,9,6,5,1863,3452,602,DEFEAT
SUPPORT,1,6,3,60,6660,0,DEFEAT
TANK,12,1,2,8231,225,7086,VICTORY
DAMAGE,5,2,6,2559,0,94,VICTORY
DAMAGE,12,3,6,4079,272,0,VICTORY
SUPPORT,8,8,2,2341,5512,0,VICTORY
SUPPORT,5,12,3,1325,5272,2329,VICTORY
TANK,31,9,14,17922,1836,9581,DEFEAT
DAMAGE,23,6,9,13636,7,4789,DEFEAT
DAMAGE,26,0,14,13746,2513,0,DEFEAT
SUPPORT,10,14,11,6883,9797,846,DEFEAT
SUPPORT,6,24,9,2745,17972,0,DEFEAT
TANK,39,5,7,16021,0,18622,VICTORY
DAMAGE,28,2,10,17564,0,0,VICTORY
DAMAGE,24,4,10,14717,0,0,VICTORY
SUPPORT,18,28,9,5863,15382,1261,VICTORY
SUPPORT,1,38,9,80,22445,0,VICTORY
TANK,14,2,8,10158,0,21706,DEFEAT
DAMAGE,14,6,10,8968,0,0,DEFEAT
DAMAGE,16,3,9,8097,1379,0,DEFEAT
SUPPORT,5,15,10,3668,7911,369,DEFEAT
SUPPORT,12,14,7,4724,13113,0,DEFEAT
TANK,23,5,3,12607,3818,6458,VICTORY
DAMAGE,27,2,4,10719,0,1100,VICTORY
DAMAGE,15,4,8,7021,716,1496,VICTORY
SUPPORT,15,14,5,4233,12395,145,VICTORY
SUPPORT,11,21,5,2463,10447,127,VICTORY
TANK,15,0,8,9830,0,23263,DEFEAT
DAMAGE,9,1,16,8536,157,164,DEFEAT
DAMAGE,14,0,12,9024,995,0,DEFEAT
SUPPORT,12,6,13,6418,7434,304,DEFEAT
SUPPORT,7,5,10,2490,8386,764,DEFEAT
TANK,18,7,4,6021,2513,7530,VICTORY
DAMAGE,31,3,7,9965,368,591,VICTORY
DAMAGE,29,8,8,9222,0,766,VICTORY
SUPPORT,25,9,3,5615,12122,245,VICTORY
SUPPORT,22,1,7,4855,9870,75,VICTORY
TANK,19,5,7,7284,0,4911,DEFEAT
DAMAGE,16,2,5,6361,86,1977,DEFEAT
DAMAGE,13,0,6,8194,0,78,DEFEAT
SUPPORT,6,12,6,3406,6389,0,DEFEAT
SUPPORT,5,10,5,3127,4954,244,DEFEAT
TANK,16,5,3,8092,0,13960,VICTORY
DAMAGE,11,3,5,4746,0,0,VICTORY
DAMAGE,20,0,7,7146,0,790,VICTORY
SUPPORT,3,12,6,875,7886,309,VICTORY
SUPPORT,0,20,4,40,12448,0,VICTORY
TANK,18,3,17,12626,323,12725,DEFEAT
DAMAGE,17,4,6,9059,14,2931,DEFEAT
DAMAGE,18,2,17,11288,931,0,DEFEAT
SUPPORT,13,17,14,5079,11884,0,DEFEAT
SUPPORT,13,12,15,3419,13404,353,DEFEAT
TANK,42,19,3,14703,0,7914,VICTORY
DAMAGE,36,2,15,11254,38,2109,VICTORY
DAMAGE,38,6,6,13906,0,94,VICTORY
SUPPORT,27,23,7,8108,13753,1520,VICTORY
SUPPORT,16,39,7,3271,14688,0,VICTORY
TANK,16,5,11,9255,79,10221,DEFEAT
DAMAGE,17,4,4,9433,4,3662,DEFEAT
DAMAGE,21,1,14,11259,0,2621,DEFEAT
SUPPORT,10,17,9,4515,10178,496,DEFEAT
SUPPORT,1,18,7,113,17714,1061,DEFEAT
TANK,28,9,4,14580,0,8670,VICTORY
DAMAGE,22,3,6,8956,839,0,VICTORY
DAMAGE,12,6,9,6282,0,402,VICTORY
SUPPORT,19,12,6,8994,8385,0,VICTORY
SUPPORT,24,24,5,8424,13051,926,VICTORY
TANK,6,1,4,7742,0,10594,DEFEAT
DAMAGE,3,0,7,4517,0,470,DEFEAT
DAMAGE,3,0,6,3986,0,0,DEFEAT
SUPPORT,3,2,7,2233,3570,0,DEFEAT
SUPPORT,4,6,4,751,7897,185,DEFEAT
TANK,18,3,1,7212,0,5433,VICTORY
DAMAGE,17,3,5,3559,410,0,VICTORY
DAMAGE,16,0,1,5585,478,150,VICTORY
SUPPORT,12,16,2,3503,6063,0,VICTORY
SUPPORT,2,13,2,585,7085,0,VICTORY
TANK,16,4,7,7182,0,14093,DEFEAT
DAMAGE,24,1,5,8965,0,72,DEFEAT
DAMAGE,11,0,12,5403,0,755,DEFEAT
SUPPORT,7,12,5,2406,7570,75,DEFEAT
SUPPORT,11,10,2,4623,6583,0,DEFEAT
TANK,16,3,7,9118,428,4919,VICTORY
DAMAGE,15,0,6,5408,191,892,VICTORY
DAMAGE,15,4,8,6356,0,0,VICTORY
SUPPORT,9,13,4,2317,9277,6168,VICTORY
SUPPORT,13,11,5,1751,6605,519,VICTORY
TANK,13,3,9,9773,0,17147,DEFEAT
DAMAGE,25,0,8,8010,145,904,DEFEAT
DAMAGE,29,8,5,11535,899,78,DEFEAT
SUPPORT,4,14,3,1676,15814,431,DEFEAT
SUPPORT,11,3,7,4446,1694,0,DEFEAT
TANK,24,2,6,13466,0,6589,VICTORY
DAMAGE,17,1,9,7636,975,0,VICTORY
DAMAGE,10,1,11,5778,279,219,VICTORY
SUPPORT,0,26,6,0,12981,0,VICTORY
SUPPORT,14,12,8,4530,9392,0,VICTORY
TANK,7,3,7,8524,1495,5152,DEFEAT
DAMAGE,10,3,7,7891,0,0,DEFEAT
DAMAGE,8,0,8,5671,617,1102,DEFEAT
SUPPORT,4,6,4,1994,7152,1974,DEFEAT
SUPPORT,4,10,5,1282,6783,0,DEFEAT
TANK,19,8,2,10965,2382,3715,VICTORY
DAMAGE,20,1,4,9813,0,14,VICTORY
DAMAGE,17,4,4,7360,59,0,VICTORY
SUPPORT,8,16,3,2157,8281,850,VICTORY
SUPPORT,0,25,4,0,6257,0,VICTORY
TANK,18,5,14,17235,708,13268,DEFEAT
DAMAGE,23,7,15,11632,1463,726,DEFEAT
DAMAGE,28,2,13,15651,1023,129,DEFEAT
SUPPORT,11,23,5,4222,11960,4298,DEFEAT
SUPPORT,11,15,13,2996,12380,1796,DEFEAT
TANK,42,21,6,20623,2553,6654,VICTORY
DAMAGE,34,1,10,15022,0,0,VICTORY
DAMAGE,28,12,14,8100,1626,903,VICTORY
SUPPORT,13,31,8,2813,15319,1231,VICTORY
SUPPORT,27,33,6,4511,12847,1615,VICTORY
TANK,15,3,11,10458,1500,6807,DEFEAT
DAMAGE,20,1,12,10867,528,934,DEFEAT
DAMAGE,22,2,12,10057,217,0,DEFEAT
SUPPORT,11,16,3,3919,9527,4120,DEFEAT
SUPPORT,3,17,6,2152,12322,182,DEFEAT
TANK,29,7,7,13062,5108,1615,VICTORY
DAMAGE,29,0,8,9443,13,13,VICTORY
DAMAGE,24,5,11,12924,1667,0,VICTORY
SUPPORT,13,20,6,2335,9931,607,VICTORY
SUPPORT,14,19,3,3554,8673,0,VICTORY
TANK,19,2,7,8719,67,9445,DEFEAT
DAMAGE,6,4,10,3385,968,2941,DEFEAT
DAMAGE,12,0,10,6674,562,765,DEFEAT
SUPPORT,11,19,5,2830,13244,4083,DEFEAT
SUPPORT,11,11,7,4225,9539,527,DEFEAT
TANK,25,8,5,13085,0,6966,VICTORY
DAMAGE,28,4,2,12807,411,262,VICTORY
DAMAGE,21,12,8,8315,81,1120,VICTORY
SUPPORT,13,19,5,3520,9140,1438,VICTORY
SUPPORT,14,23,4,2181,8141,499,VICTORY
TANK,8,2,9,7039,0,9687,DEFEAT
DAMAGE,12,0,8,8414,265,603,DEFEAT
DAMAGE,6,2,11,6306,65,0,DEFEAT
SUPPORT,5,9,5,2342,7045,2509,DEFEAT
SUPPORT,3,10,7,620,8523,0,DEFEAT
TANK,27,4,3,9733,1109,4619,VICTORY
DAMAGE,23,0,6,6456,203,3163,VICTORY
DAMAGE,33,0,3,11810,0,0,VICTORY
SUPPORT,9,14,4,2165,5495,0,VICTORY
SUPPORT,2,31,2,465,10218,0,VICTORY
TANK,15,3,7,7120,334,3292,DEFEAT
DAMAGE,19,4,9,8072,0,0,DEFEAT
DAMAGE,15,0,5,6963,0,0,DEFEAT
SUPPORT,3,11,4,1748,9114,4191,DEFEAT
SUPPORT,7,9,6,4215,3899,208,DEFEAT
TANK,15,2,4,5193,5213,591,VICTORY
DAMAGE,21,1,9,7995,814,0,VICTORY
DAMAGE,12,2,6,6028,0,0,VICTORY
SUPPORT,19,10,4,5104,4914,0,VICTORY
SUPPORT,4,14,5,1276,8317,2029,VICTORY
TANK,20,3,9,11523,0,28716,DEFEAT
DAMAGE,22,2,12,9253,215,22,DEFEAT
DAMAGE,11,2,15,8010,203,2583,DEFEAT
SUPPORT,8,16,8,2637,12821,4192,DEFEAT
SUPPORT,8,10,8,2081,15093,939,DEFEAT
TANK,26,2,8,13543,643,9950,VICTORY
DAMAGE,19,3,9,8086,0,0,VICTORY
DAMAGE,28,8,9,11938,0,0,VICTORY
SUPPORT,11,20,6,2544,10160,138,VICTORY
SUPPORT,28,32,2,9586,9446,0,VICTORY
TANK,3,2,7,4533,112,9011,DEFEAT
DAMAGE,7,0,6,3701,0,0,DEFEAT
DAMAGE,7,0,8,4683,0,1823,DEFEAT
SUPPORT,0,4,3,700,3695,1751,DEFEAT
SUPPORT,5,3,8,1344,3647,519,DEFEAT
TANK,20,2,0,6350,0,8441,VICTORY
DAMAGE,25,0,0,6918,1353,0,VICTORY
DAMAGE,7,0,5,2890,0,250,VICTORY
SUPPORT,4,16,3,821,4870,238,VICTORY
SUPPORT,12,19,4,2558,3998,0,VICTORY
TANK,5,1,8,5527,0,12649,DEFEAT
DAMAGE,2,1,9,4159,0,155,DEFEAT
DAMAGE,6,1,7,4370,1147,0,DEFEAT
SUPPORT,4,7,4,2193,6153,2860,DEFEAT
SUPPORT,4,4,5,1934,7654,603,DEFEAT
TANK,26,2,1,10023,0,17032,VICTORY
DAMAGE,13,1,3,6103,49,458,VICTORY
DAMAGE,18,2,3,5184,0,0,VICTORY
SUPPORT,15,19,1,3175,4780,0,VICTORY
SUPPORT,11,23,1,2659,8154,217,VICTORY
TANK,16,4,16,10772,52,9468,DEFEAT
DAMAGE,16,3,13,12813,0,836,DEFEAT
DAMAGE,19,1,13,12877,595,1658,DEFEAT
SUPPORT,9,14,10,3193,11261,4458,DEFEAT
SUPPORT,4,13,8,1695,10999,162,DEFEAT
TANK,38,15,5,16412,0,10360,VICTORY
DAMAGE,33,3,8,9236,426,114,VICTORY
DAMAGE,26,4,7,8481,335,0,VICTORY
SUPPORT,12,30,6,1344,16806,1387,VICTORY
SUPPORT,37,33,6,8752,11601,0,VICTORY
TANK,17,1,6,7638,1800,11624,DEFEAT
DAMAGE,14,0,13,5893,0,0,DEFEAT
DAMAGE,16,3,10,5354,667,118,DEFEAT
SUPPORT,10,21,3,3647,9471,4421,DEFEAT
SUPPORT,12,15,5,4561,10615,164,DEFEAT
TANK,14,5,6,9476,0,5053,VICTORY
DAMAGE,19,1,8,9513,14,273,VICTORY
DAMAGE,21,4,8,6393,0,74,VICTORY
SUPPORT,9,14,5,2748,7205,121,VICTORY
SUPPORT,16,11,4,6348,9005,267,VICTORY
TANK,2,0,10,3755,0,2171,DEFEAT
DAMAGE,5,0,4,5290,0,433,DEFEAT
DAMAGE,8,2,5,4919,0,97,DEFEAT
SUPPORT,4,1,4,1529,2373,0,DEFEAT
SUPPORT,3,3,0,1429,3581,685,DEFEAT
TANK,15,5,3,5099,47,2943,VICTORY
DAMAGE,14,0,3,3873,0,0,VICTORY
DAMAGE,10,1,3,3920,0,0,VICTORY
SUPPORT,17,9,2,3859,4224,0,VICTORY
SUPPORT,0,19,2,0,6911,0,VICTORY
TANK,14,3,10,13920,2181,8682,DEFEAT
DAMAGE,15,3,14,7464,0,0,DEFEAT
DAMAGE,9,2,12,11333,0,293,DEFEAT
SUPPORT,9,8,5,1658,9291,2157,DEFEAT
SUPPORT,1,13,9,203,12770,0,DEFEAT
TANK,24,6,4,8458,100,11264,VICTORY
DAMAGE,27,6,8,13259,486,0,VICTORY
DAMAGE,32,0,7,10962,0,2683,VICTORY
SUPPORT,16,21,5,4000,10023,713,VICTORY
SUPPORT,16,34,5,6704,12275,5554,VICTORY
TANK,1,0,9,2546,0,5239,DEFEAT
DAMAGE,2,0,8,4245,1167,0,DEFEAT
DAMAGE,6,0,8,5191,0,0,DEFEAT
SUPPORT,3,1,6,2811,4388,0,DEFEAT
SUPPORT,0,1,3,438,4778,1736,DEFEAT
TANK,25,11,1,5905,672,1307,VICTORY
DAMAGE,19,1,2,6472,0,0,VICTORY
DAMAGE,14,0,1,6883,0,374,VICTORY
SUPPORT,16,12,3,3323,6376,0,VICTORY
SUPPORT,4,9,1,1253,4735,115,VICTORY
TANK,15,1,14,10630,323,12062,DEFEAT
DAMAGE,20,0,12,8799,225,1133,DEFEAT
DAMAGE,13,2,14,9624,78,0,DEFEAT
SUPPORT,4,8,7,1732,8006,2593,DEFEAT
SUPPORT,6,8,11,2752,6561,153,DEFEAT
TANK,37,10,3,11780,1304,9441,VICTORY
DAMAGE,25,5,7,8521,338,588,VICTORY
DAMAGE,35,5,4,8684,384,430,VICTORY
SUPPORT,18,30,8,2680,9704,707,VICTORY
SUPPORT,27,35,3,4811,12484,0,VICTORY
TANK,17,5,16,11411,0,18074,DEFEAT
DAMAGE,16,9,13,13184,0,2441,DEFEAT
DAMAGE,19,5,16,9885,0,75,DEFEAT
SUPPORT,12,11,3,3582,13096,600,DEFEAT
SUPPORT,17,10,9,6901,14417,249,DEFEAT
TANK,40,5,7,14588,0,17476,VICTORY
DAMAGE,37,12,5,12516,1044,8359,VICTORY
DAMAGE,24,1,12,10582,0,314,VICTORY
SUPPORT,18,30,9,6781,15929,223,VICTORY
SUPPORT,19,34,5,2530,14801,1535,VICTORY
TANK,11,4,8,6675,1387,1755,DEFEAT
DAMAGE,21,2,7,12705,0,0,DEFEAT
DAMAGE,14,4,9,8908,0,1355,DEFEAT
SUPPORT,16,10,6,6660,7520,0,DEFEAT
SUPPORT,7,15,7,2838,7228,213,DEFEAT
TANK,16,4,6,6597,2390,2618,VICTORY
DAMAGE,22,2,8,9081,604,913,VICTORY
DAMAGE,18,0,5,8528,0,215,VICTORY
SUPPORT,18,12,5,4102,7569,1477,VICTORY
SUPPORT,14,23,6,4928,8264,0,VICTORY
TANK,12,7,7,8598,1710,2533,DEFEAT
DAMAGE,15,1,10,7036,1711,0,DEFEAT
DAMAGE,18,0,8,10516,0,762,DEFEAT
SUPPORT,14,9,10,5093,7131,684,DEFEAT
SUPPORT,3,16,8,1998,8817,952,DEFEAT
TANK,31,8,5,10231,0,11110,VICTORY
DAMAGE,19,1,8,8093,545,0,VICTORY
DAMAGE,26,0,6,11522,0,1726,VICTORY
SUPPORT,17,32,5,7379,8445,0,VICTORY
SUPPORT,10,18,4,2134,8776,454,VICTORY
TANK,15,4,9,9703,2166,2482,DEFEAT
DAMAGE,20,0,10,12308,2255,40,DEFEAT
DAMAGE,14,3,12,6454,0,0,DEFEAT
SUPPORT,10,20,9,3028,10184,0,DEFEAT
SUPPORT,7,16,10,3322,6657,1536,DEFEAT
TANK,30,3,5,10484,0,12387,VICTORY
DAMAGE,30,0,8,13984,0,3629,VICTORY
DAMAGE,28,2,7,11686,1131,0,VICTORY
SUPPORT,10,26,6,2507,10117,399,VICTORY
SUPPORT,12,30,8,4368,8692,0,VICTORY
TANK,34,14,9,13831,3608,4164,DEFEAT
DAMAGE,41,6,16,20644,0,0,DEFEAT
DAMAGE,33,0,14,11716,437,2339,DEFEAT
SUPPORT,27,36,12,11067,14117,0,DEFEAT
SUPPORT,19,32,10,4188,12974,492,DEFEAT
TANK,38,9,11,12566,0,20551,VICTORY
DAMAGE,40,1,14,19657,0,7326,VICTORY
DAMAGE,41,2,13,19200,1170,0,VICTORY
SUPPORT,16,28,13,5069,15764,373,VICTORY
SUPPORT,9,40,8,4358,16808,0,VICTORY
TANK,22,7,6,11411,2256,2953,DEFEAT
DAMAGE,20,4,5,8930,0,0,DEFEAT
DAMAGE,21,3,10,8314,0,0,DEFEAT
SUPPORT,0,17,5,1534,9472,2693,DEFEAT
SUPPORT,15,18,6,5577,8337,648,DEFEAT
TANK,13,8,5,10670,0,9711,VICTORY
DAMAGE,16,3,8,6187,488,44,VICTORY
DAMAGE,20,0,8,12917,1392,0,VICTORY
SUPPORT,12,11,8,4265,7113,218,VICTORY
SUPPORT,14,13,7,3469,9314,0,VICTORY
TANK,10,3,6,11519,2580,2251,DEFEAT
DAMAGE,13,2,5,6208,0,0,DEFEAT
DAMAGE,9,0,11,6008,801,705,DEFEAT
SUPPORT,6,12,6,3541,6437,486,DEFEAT
SUPPORT,4,7,8,4288,5777,0,DEFEAT
TANK,22,3,1,10823,246,8714,VICTORY
DAMAGE,21,3,5,8310,1454,1907,VICTORY
DAMAGE,22,1,3,8462,0,0,VICTORY
SUPPORT,9,17,6,2083,8948,293,VICTORY
SUPPORT,8,17,3,1915,8756,432,VICTORY
TANK,12,4,6,8766,0,12576,DEFEAT
DAMAGE,20,0,7,10354,0,122,DEFEAT
DAMAGE,7,2,10,5344,275,0,DEFEAT
SUPPORT,8,11,6,3969,6879,354,DEFEAT
SUPPORT,13,11,4,6235,10577,419,DEFEAT
TANK,19,3,3,11480,0,8766,VICTORY
DAMAGE,20,4,4,7627,0,0,VICTORY
DAMAGE,13,4,10,6926,406,0,VICTORY
SUPPORT,12,12,7,5209,7052,375,VICTORY
SUPPORT,3,19,5,903,12382,161,VICTORY
TANK,19,3,9,13594,0,7733,DEFEAT
DAMAGE,15,2,9,7692,0,0,DEFEAT
DAMAGE,15,0,13,8817,839,1193,DEFEAT
SUPPORT,7,10,11,5540,11744,1412,DEFEAT
SUPPORT,12,17,12,4641,8470,948,DEFEAT
TANK,40,12,7,14681,672,6954,VICTORY
DAMAGE,30,6,4,12886,0,0,VICTORY
DAMAGE,31,0,6,9487,193,10,VICTORY
SUPPORT,3,32,5,883,12248,0,VICTORY
SUPPORT,26,34,5,7180,9455,283,VICTORY
TANK,17,3,6,10904,0,13384,DEFEAT
DAMAGE,15,0,3,11176,0,0,DEFEAT
DAMAGE,14,3,7,13342,1146,2037,DEFEAT
SUPPORT,4,9,8,2028,9788,534,DEFEAT
SUPPORT,2,17,4,368,13413,0,DEFEAT
TANK,22,12,2,12560,0,9258,VICTORY
